#"Step","Potential Energy (kJ/mole)"
11200,-17.8467537451
11210,-17.6620753119
11220,-15.0190086876
11230,-13.6345836728
11240,-15.3339644432
11250,-15.2912380968
11260,-16.5534678362
11270,-17.027114459
11280,-16.4857670408
11290,-17.6286831511
11300,-17.4350578294
11310,-17.175283873
11320,-17.6588541052
11330,-17.2042733492
11340,-17.713810108
11350,-17.0172015204
11360,-16.8272110023
11370,-17.7523639057
11380,-17.4756630384
11390,-16.9217569783
11400,-16.7596120164
11410,-17.0715892772
11420,-17.876271659
11430,-17.2624290896
11440,-16.4259484009
11450,-16.9024579183
11460,-17.2537371926
11470,-17.2408171612
11480,-16.2909835114
11490,-15.6760942827
11500,-15.9370267989
11510,-15.4713322087
11520,-15.055866829
11530,-15.7371884446
11540,-16.2993686721
11550,-16.0779719654
11560,-15.7346027536
11570,-17.0743893132
11580,-17.4830372692
11590,-16.555040902
11600,-16.8600272768
11610,-17.0967253922
11620,-17.2851271042
11630,-16.6228307594
11640,-15.5571346984
11650,-17.6087297621
11660,-18.0135700533
11670,-16.9896739046
11680,-18.2959770527
11690,-18.5827102954
11700,-18.880387375
11710,-18.7629922358
11720,-18.9382899513
11730,-20.2933188618
11740,-19.4854290289
11750,-18.9400808125
11760,-19.6297623929
11770,-19.9437989827
11780,-19.1487184457
11790,-17.2723498379
11800,-18.0410635174
11810,-19.2209157336
11820,-18.6101167058
11830,-18.1920502754
11840,-17.1967885186
11850,-17.5969913085
11860,-16.9602748571
11870,-16.447095559
11880,-18.1311460908
11890,-18.2293555403
11900,-18.601203305
11910,-19.2262674332
11920,-18.2764369969
11930,-19.8071259286
11940,-19.2893395856
11950,-17.7452575415
11960,-19.6866867394
11970,-19.6920352501
11980,-18.9269994947
11990,-18.4589987017
12000,-16.8643993616
12010,-18.2662805239
12020,-16.4225697253
12030,-14.3991405816
12040,-14.9064216839
12050,-14.2123197626
12060,-15.7258738335
12070,-14.3663924817
12080,-12.7930568143
12090,-14.2204577784
12100,-13.5559028907
12110,-13.5468470344
12120,-13.6388667079
12130,-13.2620710174
12140,-16.2439053689
12150,-15.5487421288
12160,-15.1222017087
12170,-17.3139632004
12180,-17.4615224493
12190,-17.8273324036
12200,-16.0000468023
12210,-17.7199465323
12220,-18.4371191511
12230,-14.99696513
12240,-17.1982883505
12250,-16.8314751737
12260,-18.2004106506
12270,-19.0177270405
12280,-15.4262872877
12290,-16.8248468934
12300,-16.9916342676
12310,-16.2448395449
12320,-15.8109333865
12330,-13.6765441048
12340,-16.2438243131
12350,-17.2133153472
12360,-15.5907557097
12370,-16.5085425314
12380,-16.8026462201
12390,-18.277406505
12400,-18.3606310281
12410,-15.8818064157
12420,-17.2754879178
12430,-16.448228234
12440,-16.0340924779
12450,-16.6132537333
12460,-13.8691113455
12470,-15.1639042429
12480,-14.4708798038
12490,-13.3047050711
12500,-15.8914444209
12510,-15.9456880704
12520,-16.3787864513
12530,-15.955918316
12540,-17.2616009474
12550,-19.8497108604
12560,-19.1737640558
12570,-17.9118217165
12580,-16.7642984279
12590,-17.8216525024
12600,-19.1335341903
12610,-16.7111470402
12620,-14.537448332
12630,-14.2173100911
12640,-15.3237669324
12650,-17.5345627876
12660,-17.0406953172
12670,-17.1712910731
12680,-18.0579661921
12690,-17.6363888939
12700,-18.0647891315
12710,-16.5175532515
12720,-15.8498959637
12730,-14.3722854223
12740,-14.731054397
12750,-18.0035077483
12760,-19.015689987
12770,-16.8123425067
12780,-14.8222494988
12790,-16.8098494784
12800,-19.4090930125
12810,-16.7668366151
12820,-12.129461091
12830,-12.0782794605
12840,-13.8846169197
12850,-13.134206823
12860,-10.5468738692
12870,-10.5155212201
12880,-12.7489072994
12890,-13.4078115769
